type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Cat,Domestic Sh,White/Black,Neutered,KITTN,K21-039922,WESTFARM,A407229,2021-10-15,2021-11-06,22,Stray,OVER THE COUNTER,Adoption,WESTFARM,HEALTHY,HEALTHY,COUNTY,1,2021-08-13T00:00:00.000,*BUBBA,95401,26075,SANTA ROSA,2021
Cat,Domestic Sh,Gray/White,Male,SMALL,K16-021995,CS06,A346513,2016-12-22,2017-01-03,12,Stray,COMM CAT,Transfer,FORGOTTEN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,1,,,95403,26076,SANTA ROSA,2016
Dog,Labrador Retr/Pit Bull,Yellow,Male,MED,K17-025337,DS75,A360950,2017-09-15,2017-09-23,8,Stray,FIELD,Transfer,PETALUMAAS,UNKNOWN,HEALTHY,SANTA ROSA,1,2015-09-15T00:00:00.000,,94952,11138,*PETALUMA,2017
Cat,Domestic Sh,Black,Neutered,SMALL,K21-037953,CA02,A402585,2021-02-21,2021-03-18,25,Stray,FIELD,Adoption,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,1,2018-03-04T00:00:00.000,*SCAR,94952,11138,*PETALUMA,2021
Dog,Parson Russ Ter/Labrador Retr,Black/White,Neutered,PUPPY,K17-025471,DA42,A361673,2017-09-26,2017-10-04,8,Stray,FIELD,Adoption,WALKIN,UNKNOWN,HEALTHY,COUNTY,1,2016-10-03T00:00:00.000,*JACKSON,94534,588,OUT OF COUNTY,2017
Dog,Pit Bull/Mix,Tan/White,Neutered,LARGE,K22-040991,DA24,A407762,2022-03-28,2022-04-01,4,Stray,FIELD,Transfer,HSSC,UNKNOWN,TREATABLE/REHAB,COUNTY,1,2017-04-20T00:00:00.000,BORIS,95407,26079,COUNTY,2022
Other,Guinea Pig,Red/White,Female,SMALL,K15-017114,CS06,A330682,2015-12-11,2015-12-19,8,Stray,OVER THE COUNTER,Euthanize,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,,,,,,2015
Dog,Parson Russ Ter/Mix,White/Black,Neutered,MED,K17-025321,DS88,A024116,2017-09-14,2017-10-04,20,Owner Surrender,FIELD,Euthanize,ILL SEVERE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,1,2004-09-14T00:00:00.000,CALYPSO,,,,2017
Other,Palomino,Brown,Neutered,SMALL,K22-040440,CS06,A408679,2022-01-04,2022-04-08,94,Stray,OVER THE COUNTER,Transfer,RP SHELTER,HEALTHY,HEALTHY,SANTA ROSA,1,2021-04-20T00:00:00.000,*GEORGE,94928,1829,*ROHNERT PARK,2022
Cat,Domestic Sh,Black,Unknown,KITTN,K18-029141,CS06,A374783,2018-07-17,2018-07-17,0,Stray,BORN_HERE,Transfer,FORGOTTEN,UNKNOWN,HEALTHY,COUNTY,1,2018-07-16T00:00:00.000,,95403,26076,SANTA ROSA,2018
Cat,Domestic Sh,Black,Spayed,SMALL,K16-019880,CS05,A339935,2016-07-20,2016-09-16,58,Owner Surrender,OVER THE COUNTER,Adoption,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,1,2015-11-20T00:00:00.000,BLACKIE,95492,31428,*WINDSOR,2016
Dog,Parson Russ Ter,Tan,Neutered,SMALL,K14-008349,DA40,A305091,2014-04-08,2014-05-24,46,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,*WINDSOR,1,2010-04-08T00:00:00.000,JASPER,27127,245,OUT OF COUNTY,2014
